,RT,m/z,Polarity,Area (Max.),ID,molec_class,Features Found,20211113_Ernie_nLipid_60min_r_1950_3.raw (F1),20211113_Ernie_nLipid_60min_r_1950_4.raw (F2),20211113_Ernie_nLipid_60min_r_1950_5.raw (F3),20211113_Ernie_nLipid_60min_15k_1950_1.raw (F4),20211113_Ernie_nLipid_60min_15k_1950_2.raw (F5),20211113_Ernie_nLipid_60min_15k_1950_3.raw (F6),mean,is_id,C,unsat,C_cat,unsat_cat
2076,18.049,453.35782,+,7385949.553,,,1,1344467.313,7385949.553,1505113.301,1383643.758,3190158.174,2851634.084,,False,,,,
2077,18.05,559.39941,+,10557983.76,,,6,1873725.114,1792391.223,2464176.274,10557983.76,2353993.901,2554179.014,,False,,,,
2078,18.052,540.51477,+,1165520.622,,,1,808530.2951,1071839.534,671071.5924,1165520.622,691696.8386,1043631.855,,False,,,,
2079,18.053,351.25024,+,2766360.069,,,6,2248378.292,2534708.152,2766360.069,2104239.462,2236272.455,2392489.527,,False,,,,
2080,18.056,718.21808,+,22433881.44,,,6,22433881.44,17359739.19,16104879.37,14820363.62,14465022.36,17091638.23,,False,,,,
2081,18.056,818.21295,+,922839.7384,,,5,847408.353,853527.8505,750287.4907,623755.6028,562396.3082,922839.7384,,False,,,,
2082,18.057,334.31027,+,7434486.825,,,6,6993941.302,6264620.742,7434486.825,5946137.737,6705275.809,7221837.432,,False,,,,
2083,18.06,600.32935,+,30080401.28,,,6,28806420.84,25324745.44,26061024.97,24827538.43,26373284.41,30080401.28,,False,,,,
2084,18.063,281.05096,+,7463625.577,,,2,1195007.417,1725881.246,1267197.012,4506343.666,5621188.748,7463625.577,,False,,,,
2085,18.065,464.37283,+,2454063.873,,,3,1582486.846,2454063.873,1988493.422,2378942.787,1382688.191,1498358.523,,False,,,,
2086,18.068,409.11462,+,890290.1297,,,1,196164.2401,228678.1747,277081.7512,334694.6393,890290.1297,712149.3458,,False,,,,
2087,18.07,764.25977,+,5144740.781,,,5,5144740.781,3860822.711,4515288.047,3557887.645,3798832.995,4663128.93,,False,,,,
2088,18.071,395.27649,+,47437322.59,,,6,34424459.84,33355443.05,47437322.59,32615075.75,38051212.5,41125792.8,,False,,,,
2089,18.071,744.23413,+,3369045.142,,,3,3369045.142,1356306.934,1010783.765,2174585.023,1653588.256,2369195.363,,False,,,,
2090,18.072,385.23468,+,1450679.069,,,2,1427874.408,477519.7912,1450679.069,670507.042,646460.4827,600801.0884,,False,,,,
2091,18.074,340.32089,+,12498596.82,,,7,10614597.24,11261103.42,12498596.82,11142807.38,10120541.67,9023735.968,,False,,,,
2092,18.076,739.5827,+,4006885.594,,,6,4006885.594,3730406.075,2842445.294,3143018.603,2692113.227,3044693.525,,False,,,,
2093,18.077,835.2973,+,3868255.235,,,1,3512548.265,3868255.235,2783653.952,1863108.168,411386.9124,2262085.427,,False,,,,
2094,18.077,1115.82141,+,918843.6664,,,3,614018.7749,507389.6555,103632.4613,918843.6664,296725.4931,625211.2781,,False,,,,
2095,18.078,441.35733,+,12015438.95,,,6,10277646.65,12015438.95,10166224.52,9265754.719,9552805.588,9372277.719,,False,,,,
2096,18.079,656.53119,+,8552951.462,,,6,7533598.535,7267613.269,6827017.2,7660413.473,7654704.462,8552951.462,,False,,,,
