Retention Time (min),Quant Ion,Polarity,Area (max),Identification,Lipid Class,Features Found,20211113_Ernie_nLipid_60min_r_1950_3.raw (F1),20211113_Ernie_nLipid_60min_r_1950_4.raw (F2),20211113_Ernie_nLipid_60min_r_1950_5.raw (F3),20211113_Ernie_nLipid_60min_15k_1950_1.raw (F4),20211113_Ernie_nLipid_60min_15k_1950_2.raw (F5),20211113_Ernie_nLipid_60min_15k_1950_3.raw (F6),
15.522,392.30057,+,1.044291473E7,,,6,8621360.651,1.044291473E7,8962547.711,8270675.242,9947620.012,1.011850558E7,
15.525,313.21356,+,5877628.544,,,1,2852885.993,3276056.779,2370240.564,2751652.008,5877628.544,3291143.859,
15.526,653.9646,+,2362669.083,,,1,1456252.158,1937935.037,1713190.94,1281626.224,2362669.083,2260093.78,
15.527,581.30884,+,5047784.864,,,6,5028882.207,4493380.87,4664145.28,4428206.854,4917004.122,5047784.864,
15.529,350.23233,+,6636315.19,,,3,5598267.571,2405334.419,6636315.19,5873279.611,6236382.156,6261420.037,
15.533,507.1402,+,2.111212966E8,,,6,2.111212966E8,1.736980228E8,1.650170238E8,1.570964405E8,1.914472324E8,1.566299409E8,
15.535,267.22931,+,3560701.237,,,6,3560701.237,2579493.181,3287108.975,3054391.72,3315094.363,3257568.791,
15.535,684.92981,+,640975.2524,,,1,404205.128,640975.2524,461969.7106,633652.9838,560451.7649,484066.7303,
15.536,530.36859,+,2.355111058E7,,,6,1.870995542E7,1.880739445E7,2.2039507E7,1.927775152E7,1.971846594E7,2.355111058E7,
15.536,698.98206,+,767350.4533,,,1,653952.5049,441478.0572,534316.906,767350.4533,728547.3638,595987.7869,
15.541,249.1096,+,1567762.655,,,1,695713.6092,1567762.655,788161.618,1459755.672,575596.9759,167372.8736,
15.542,407.31284,+,1172093.462,,,1,929945.8943,1016583.599,1172093.462,1058847.384,965362.0289,1074471.292,
15.543,311.21329,+,8596031.936,,,4,8087010.724,4728399.737,8596031.936,1257099.492,1295122.224,4788718.981,
15.544,948.58936,+,5783422.797,,,6,5783422.797,4779885.684,5626176.947,4950280.799,3420433.284,3862657.989,
15.547,870.57062,+,1275783.789,,,2,1145272.582,888404.4558,1199051.153,1001407.526,882640.172,1275783.789,
15.548,325.16235,+,2.2824775E7,,,6,2.096234223E7,1.928990808E7,1.432328451E7,1.969532487E7,2.2824775E7,1.859812264E7,
15.551,515.38336,+,3.738854341E7,,,1,3.652934779E7,3.060688758E7,2.680792286E7,2.944233304E7,3.190468574E7,3.738854341E7,
15.551,634.12476,+,8101437.492,,,6,7582122.046,5932359.884,7983581.277,7255349.287,7379534.487,8101437.492,
15.553,429.26093,+,1.529404555E7,,,6,1.025242246E7,1.362555303E7,1.160289639E7,1.529404555E7,1.413897405E7,1.39679122E7,
15.555,480.29926,+,1.268780962E7,,,1,812450.14,8103253.973,1.151753563E7,1.061228842E7,1.114741044E7,1.268780962E7,
15.556,622.40753,+,3227712.572,,,6,2985303.112,2555414.697,2372555.703,2926554.855,3096064.533,3227712.572,
15.563,606.09338,+,1050999.416,,,1,974437.2491,958910.8385,931655.4203,958572.4494,877328.1592,1050999.416,
15.567,319.28403,+,2.228427392E7,,,1,2.047981169E7,1.982771749E7,1.680288199E7,2.228427392E7,1.606190355E7,2.203359237E7,
15.568,376.31845,+,3236697.464,,,1,2713382.376,2959722.171,2533827.364,3236697.464,2904246.786,2891858.059,
15.572,370.29507,+,2.222295372E8,,,6,2.035173078E8,1.897872303E8,2.043921875E8,1.851315737E8,1.922808248E8,2.222295372E8,
15.572,387.20813,+,7.228941659E7,,,6,6.928507614E7,7.228941659E7,6.228800652E7,6.299159365E7,6.358280632E7,7.155321035E7,
15.573,305.2684,+,8330374.858,,,1,6012636.12,6574306.548,8330374.858,6486330.736,7581809.218,8066942.448,
15.573,770.1745,+,1034418.828,,,2,971779.5972,899340.0655,922496.4281,1034418.828,901460.1542,934014.985,
15.574,392.2197,+,800378.0861,,,1,674830.0194,782599.1242,800378.0861,677291.2555,632085.4349,733612.3932,
15.578,756.27435,+,783298.5106,,,1,520454.0707,180911.6774,466608.0263,783298.5106,305191.6433,376312.0231,
15.58,474.31281,+,3338476.139,,,2,340933.8251,213456.2191,3338476.139,310348.2354,320259.0027,2684833.748,
15.58,569.25134,+,1888441.617,,,1,1550976.626,1069410.183,1065594.724,1888441.617,1242311.879,1044425.014,
15.585,505.26691,+,1.58107948E7,,,6,1.58107948E7,1.343696417E7,1.348409892E7,1.197667899E7,1.175115913E7,1.222522993E7,
15.585,639.28455,+,4524567.132,,,4,4524567.132,4228567.724,4141946.127,3992735.783,3831950.11,4342432.248,
15.591,528.2876,+,792817.9334,,,1,698720.7502,792817.9334,681992.6768,766065.4681,759243.6311,719525.028,
15.6,512.41565,+,3.014120475E8,,,7,2.519764591E8,2.575717274E8,2.909023978E8,2.333460037E8,2.610704739E8,3.014120475E8,
15.6,560.41528,+,8.334808069E7,,,6,6.104098948E7,5.845291181E7,7.972580046E7,6.334582293E7,7.398840147E7,8.334808069E7,
15.6,325.22885,+,5853312.386,,,1,5590077.447,5853312.386,5847187.759,5204518.752,5244996.211,5736908.552,
15.6,327.20135,+,2282843.87,,,2,1825154.737,1639742.455,2282843.87,1678518.721,1307992.786,1803040.048,
15.602,1076.63611,+,2061730.564,,,5,1375336.089,1722527.855,1802334.191,1490470.478,1556687.574,2061730.564,
15.605,670.32709,+,1.031778638E7,,,6,1.031778638E7,7014195.449,8296238.515,7435830.597,7748985.669,9800932.934,
15.606,367.13306,+,2.011506444E8,,,9,1.037408038E8,2.011506444E8,1.318866067E8,1.460552134E8,1.497140002E8,1.599445973E8,
15.606,454.27753,+,2967720.54,,,2,840020.9501,2967720.54,1069904.938,1374344.611,1978936.669,1371682.188,
15.607,574.35028,+,1.585293091E7,,,4,1.332430845E7,1.244729373E7,1.418619941E7,1.251859351E7,1.575979033E7,1.585293091E7,
15.608,756.15869,+,786388.5966,,,1,786388.5966,571159.9707,472740.8471,418185.3968,517486.2008,579337.4564,
15.614,664.13513,+,2.85886152E7,,,6,2.85886152E7,2.508083189E7,2.434584124E7,2.534102163E7,2.372445036E7,2.647947883E7,
15.617,311.29413,+,1.250963632E7,,,1,1.250963632E7,6055463.396,6864373.736,6368499.229,5849385.715,6009854.551,
15.619,1037.65454,+,1478224.661,,,1,620856.3239,316968.8479,1105263.174,1276447.29,1478224.661,998561.662,
15.621,369.12476,+,5372991.423,,,1,4598274.808,618317.4616,5372991.423,4698776.196,4094542.274,2050860.142,
15.622,1181.44946,+,8226187.624,,,6,6742955.502,6246408.026,4907536.908,5964012.653,5920612.072,8226187.624,
15.627,722.46039,+,1592537.529,,,2,1023270.948,1001505.614,1445584.635,1385493.5,1331878.479,1592537.529,
15.628,286.31021,+,8530292.938,,,4,7176742.98,6179218.748,5406135.604,5360985.212,8530292.938,5844785.715,
15.631,499.34674,+,9820812.147,,,1,8782619.317,1982664.568,5846130.935,2631852.846,9820812.147,7127073.441,
15.633,690.45837,+,1197086.757,,,1,1197086.757,971419.72,914456.4611,889481.4354,990411.0157,1161713.552,
15.635,619.44464,+,1.934019632E7,,,6,1.692321019E7,1.493712722E7,1.628932707E7,1.641298522E7,1.715778888E7,1.934019632E7,
15.639,520.34052,+,3.391569511E8,LysoPC 18:2,LysoPC,2,3.120577389E8,3.25863112E8,3.016171597E8,2.727157083E8,3.264563787E8,3.391569511E8,
15.639,549.36316,+,5441695.442,,,2,5441695.442,4494392.249,4105103.11,4681897.798,4943896.637,4700669.542,
15.64,826.54468,+,3261896.847,,,4,2725105.04,2722373.175,2529090.376,2716113.178,2880414.501,3261896.847,
15.641,546.35577,+,1.596320867E9,LysoPC 20:3,LysoPC,6,1.596320867E9,1.37176553E9,1.270730123E9,1.443370819E9,1.415965143E9,1.467471994E9,
15.647,486.34338,+,1.980971855E7,,,4,1.644373608E7,1.519881527E7,1.889330823E7,1.510886613E7,1.569032213E7,1.980971855E7,
15.648,568.33966,+,2.355020639E8,LysoPC 22:6,LysoPC,6,2.181334898E8,1.987539926E8,1.898764893E8,1.956414247E8,2.147468656E8,2.355020639E8,
15.65,387.21652,+,1115257.926,,,1,1075000.12,876764.8324,792857.153,1115257.926,868705.6949,1036017.432,
15.652,496.25671,+,1582905.375,,,1,820560.6039,940356.1854,649632.3969,1582905.375,287069.4041,654881.9641,
15.658,571.35852,+,4.314739062E7,,,6,3.260800725E7,2.778337206E7,2.528497784E7,2.879293736E7,3.822817846E7,4.314739062E7,
15.659,326.26865,+,1.17081022E8,,,6,1.17081022E8,1.068837796E8,1.032034705E8,1.118426243E8,1.126069413E8,1.160603042E8,
15.66,592.33728,+,1.027355762E7,,,6,7830681.071,9183492.308,7902449.15,9548344.846,9913272.503,1.027355762E7,
15.671,666.39862,+,1.280299764E7,,,6,1.217550633E7,1.0770545E7,1.023951142E7,1.280299764E7,1.241932979E7,1.207553648E7,
15.674,578.2536,+,4761221.565,,,4,4761221.565,3541051.837,1721143.184,2655419.956,1935556.161,2496697.302,
15.674,411.09381,+,2670312.882,,,2,238680.1646,232163.0637,888392.8704,2031635.617,1627706.645,2670312.882,
15.675,358.25903,+,3612781.946,,,2,2945075.273,2105251.145,3612781.946,2417215.978,3188327.336,3596504.721,
15.677,341.26852,+,8729704.462,,,5,7795701.143,6556505.629,5079648.138,8729704.462,7205776.204,7666776.624,
15.678,496.33969,+,5.994592522E9,LysoPC 16:0,LysoPC,6,5.994592522E9,5.421053027E9,5.173450681E9,5.562683102E9,5.191633134E9,5.257592493E9,
15.681,526.43042,+,1.408110937E8,,,3,1.146027274E8,1.045303328E8,1.23861875E8,1.161898853E8,1.190644184E8,1.408110937E8,
15.682,223.20535,+,3.948041204E7,,,5,3.755084978E7,3.948041204E7,3.288204547E7,3.435828881E7,3.496135834E7,3.342903439E7,
15.687,1130.28552,+,2063294.846,,,4,1291649.787,2063294.846,1808046.76,1708236.602,1644895.555,1223108.584,
15.689,932.52533,+,2256338.367,,,5,1643154.926,2256338.367,2186324.583,1664315.006,1879905.838,2204523.103,
15.69,816.57275,+,1.095038108E7,,,8,1.059487993E7,7871250.475,7232667.369,5717981.303,1.095038108E7,8277138.53,
15.69,598.26385,+,3718389.023,,,5,3718389.023,2429528.953,2914022.909,3199058.837,2313308.388,2997918.598,
15.691,652.41833,+,9115480.314,,,6,8252286.01,9115480.314,6197593.728,8870382.168,8701608.753,6234097.142,
15.693,586.3089,+,5772582.482,,,3,2639807.507,3680640.622,4499378.843,3098011.37,4599015.315,5772582.482,
15.694,516.38934,+,8.031307117E7,,,6,6.322842696E7,6.856860555E7,7.640611128E7,6.069513148E7,6.146673303E7,8.031307117E7,
15.694,652.3822,+,2846812.356,,,1,2078406.009,2183226.326,1954081.576,2846812.356,2593266.198,2504608.294,
15.701,501.30325,+,2208303.267,,,5,2208303.267,2003808.391,1347840.379,2095812.428,2009733.06,1638086.078,
15.701,626.24023,+,2010123.973,,,1,801666.9074,2010123.973,675757.261,511049.1399,613494.0992,622064.0802,
15.702,468.38953,+,2.454729585E8,,,6,1.876187495E8,1.813391854E8,2.41894961E8,1.962403097E8,1.880323769E8,2.454729585E8,
15.706,788.54175,+,899841.8245,,,1,667200.5417,846854.7499,696101.7613,833756.648,652536.8527,899841.8245,
15.711,976.64673,+,3784431.2,,,3,912912.5572,1489211.058,2016609.326,1698549.14,2046252.195,3784431.2,
15.713,261.24222,+,1.162928948E7,,,3,1.090029126E7,1.109610514E7,9444361.11,9802802.245,8172959.396,1.162928948E7,
15.714,301.16971,+,9313581.462,,,5,9313581.462,8911047.269,6797094.946,6099983.183,8312357.448,6604009.229,
15.716,383.3306,+,1.054471236E7,,,5,9726239.859,7740066.501,8622789.527,1.054471236E7,9928212.69,6820271.613,
15.716,640.41815,+,1353159.002,,,1,924464.9054,904181.3596,866231.8431,884285.3779,1187075.639,1353159.002,
15.718,560.45178,+,4444546.572,,,2,1796054.05,1722774.246,3701413.349,2078590.922,2094816.753,4444546.572,
15.719,449.1488,+,2740527.348,,,3,2740527.348,2101038.685,2417995.951,2242318.414,2389614.563,2415139.798,
15.721,381.30002,+,1.140249229E8,,,6,9.566589575E7,1.082062402E8,9.742961102E7,1.032914223E8,1.140249229E8,1.096625221E8,
15.723,596.37103,+,5876557.827,LysoPC 24:6,LysoPC,6,5876557.827,5419489.476,4648858.528,5808964.976,5705752.058,5681614.775,
15.727,698.43945,+,9622769.585,,,6,8322536.905,8753657.776,7660516.483,9546932.968,9315671.751,9622769.585,
15.729,1148.69324,+,1217044.827,,,3,906249.998,957815.2564,1217044.827,810626.024,696868.6858,1160462.691,
15.734,423.27197,+,7846215.666,,,3,5327335.726,5777693.019,6092635.329,7796482.344,7846215.666,6986615.722,
15.734,452.37341,+,6629524.299,AC 20:2,AC,6,6204577.398,5385770.164,5021999.69,5442174.998,4775267.143,6629524.299,
15.738,482.31677,+,2.583712316E7,LysoPC 15:0,LysoPC,1,1.861952676E7,1.4471946E7,1.92109828E7,1.911899728E7,2.488899458E7,2.583712316E7,
15.74,439.19855,+,3699472.993,,,4,3699472.993,3327353.632,2764383.552,2496601.578,2099340.971,2671682.725,
15.744,704.16754,+,7025545.841,,,6,6277428.069,6383174.302,5101829.079,7025545.841,5944526.918,6407906.171,
15.746,782.51843,+,5474560.971,,,6,4903864.821,4005445.568,4227977.98,4063324.001,4560135.807,5474560.971,
15.746,1051.72681,+,4150950.661,,,5,3557984.185,2863916.152,3099222.958,2565347.028,3318714.888,4150950.661,
15.749,419.31955,+,6382665.528,,,1,4791836.653,6382665.528,6000296.026,812016.6376,6155533.983,6064861.433,
15.749,715.31219,+,3607181.639,,,6,3592086.349,3082323.096,2928782.951,3293556.597,2998454.927,3607181.639,
15.75,607.36084,+,906011.112,,,2,678376.0354,586922.6511,657728.5506,676371.0954,714766.4971,906011.112,
15.751,303.15216,+,2.418618348E7,,,6,2.418618348E7,2.117903418E7,1.503615607E7,1.644436505E7,1.609215041E7,1.540856862E7,
15.752,453.35754,+,2752336.992,,,6,2318635.449,2044532.201,2752336.992,2280548.764,2081018.359,2393751.804,
15.753,431.06793,+,1526301.774,,,2,167969.0763,151945.9588,715138.3358,474524.1093,1155912.606,1526301.774,
15.755,547.4007,+,6047019.246,,,1,5914675.118,5561743.395,5957595.417,6047019.246,952149.1227,4891682.581,
15.756,736.19312,+,1137030.761,,,2,1110410.013,927033.1564,898303.078,1137030.761,1055996.017,1030317.356,
15.765,732.3512,+,1514947.208,,,2,1514947.208,1322078.595,1202757.061,1213148.49,1107120.63,1277643.955,
15.77,497.28827,+,3271969.461,,,4,1448530.548,1618904.488,1911997.332,2686466.892,2343941.861,3271969.461,
15.77,677.00024,+,2271838.094,,,2,1426759.966,913419.2443,1352287.096,2271838.094,1623429.572,1563198.086,
15.773,482.40472,+,1.286987574E8,,,5,8.936794416E7,1.041279966E8,1.208469556E8,9.051754228E7,1.188085445E8,1.286987574E8,
15.773,287.19803,+,5255374.955,,,3,1727556.724,3318675.67,973949.7356,5255374.955,2146524.983,3734992.475,
15.781,833.23962,+,4688297.765,,,1,4688297.765,1008589.294,4314079.361,3601970.886,2044684.404,4214134.719,
15.781,533.20013,+,1129426.464,,,1,894348.2454,625933.1149,512909.193,1129426.464,1035834.401,633822.9622,
15.782,472.3631,+,5.595464877E7,,,6,4.62378776E7,3.878658624E7,5.595464877E7,3.7404126E7,3.610840688E7,5.492130946E7,
15.784,466.32901,+,3050399.017,,,1,1907167.063,1502969.009,1328425.486,3050399.017,1803541.028,1451587.686,
15.785,648.13965,+,1.05873183E7,,,6,1.05873183E7,9698769.4,1.057592213E7,9835727.434,9535554.791,1.038906868E7,
15.785,750.53619,+,1126713.502,,,1,624648.2339,780359.7883,887528.953,807383.3269,817621.3358,1126713.502,
15.789,371.10101,+,3.405092803E7,,,1,1.253704847E7,1.182032585E7,1.699295418E7,2.058245295E7,2.646518507E7,3.405092803E7,
15.789,281.05096,+,2.126498103E7,,,1,3161742.334,4291459.526,6077083.28,6574633.113,2.126498103E7,1.060403122E7,
15.789,506.36041,+,5859493.381,,,3,5859493.381,4765310.968,5617203.411,4913662.768,3822618.059,5840114.11,
15.793,551.22137,+,4154730.797,,,1,3670258.196,3423944.649,3464526.794,4154730.797,4075506.051,1919320.404,
15.794,297.08246,+,1.642321753E7,,,4,1.084876228E7,9791756.054,1.363173049E7,1.642321753E7,1.212043103E7,1.603112062E7,
15.795,351.24445,+,5500479.875,,,4,3898406.464,5494522.522,5172712.538,4659836.234,3487708.167,5500479.875,
15.795,313.21378,+,4065690.013,,,3,2657936.938,3533493.375,2716410.296,4065690.013,3931385.114,2136872.139,
15.795,309.23969,+,1093028.691,,,2,1093028.691,1048819.521,787092.2501,445065.5044,688200.2229,683797.1692,
15.795,658.40784,+,517590.0233,,,1,449817.3598,437586.8377,412357.1255,450999.7663,462878.8098,517590.0233,
15.796,547.2691,+,5557692.802,,,6,4094665.163,5557692.802,3371304.516,3494476.869,2808205.091,3100324.642,
15.796,471.27158,+,2273289.011,,,1,1061162.751,1142027.559,1395033.747,1152284.928,2273289.011,1980506.04,
15.797,437.1926,+,1.441213642E7,,,2,6233410.486,6618872.82,3785650.423,4814092.397,1.441213642E7,1.354756075E7,
15.797,476.34927,+,4443337.18,,,1,4341354.79,2503446.51,1831532.739,4443337.18,1053425.011,1430277.62,
15.798,487.3522,+,3130864.449,LysoPE d-718:1,LysoPE,1,2733630.797,3130864.449,3002227.626,2610185.326,2748550.8,2599634.659,
15.801,321.23975,+,1.785122714E7,,,3,1.677677861E7,1.720048228E7,1.011191409E7,1.785122714E7,1.278597677E7,1.113815747E7,
15.803,439.30298,+,3.792141804E8,,,7,3.226379364E8,3.08384727E8,2.692978314E8,2.933399359E8,3.792141804E8,2.918398994E8,
15.804,446.11957,+,5105261.074,,,2,2652110.089,2015016.302,2222761.71,4789623.477,2901079.397,5105261.074,
15.808,424.36307,+,1.149207553E8,,,6,1.027358119E8,8.108699454E7,9.907712815E7,9.122281455E7,9.680864293E7,1.149207553E8,
15.81,532.30341,+,1913769.127,,,5,1625675.185,1651504.346,1614588.005,1868463.373,1865890.99,1913769.127,
15.812,334.19885,+,2884516.16,,,2,1411582.197,2272848.083,925091.2637,1353919.842,2884516.16,1117808.287,
15.812,426.13708,+,1396877.77,,,1,1375369.554,249884.3643,1396877.77,1284753.614,302146.7827,1333368.953,
15.812,596.35547,+,1320415.507,,,1,1301427.893,1298005.379,1133666.01,1320415.507,1201689.06,1128261.113,
15.815,610.37152,+,7914000.987,,,6,7004300.326,7306474.327,6574487.563,7127018.819,7914000.987,6389284.582,
15.816,706.4267,+,1915826.479,,,1,402368.1593,350546.2565,406574.5695,1915826.479,549030.1196,567633.8771,
15.816,856.24622,+,766160.6354,,,1,578632.2805,766160.6354,711452.0546,612778.5038,763175.7913,513915.415,
15.817,504.25098,+,3012938.886,,,2,1681633.25,1861231.96,1935327.469,1346899.461,3012938.886,1527293.258,
15.821,384.19321,+,1533132.674,,,1,1310505.505,1447701.933,1159140.63,1533132.674,1454644.321,1053604.071,
15.822,386.32635,+,3566499.578,,,3,2974227.302,2861738.723,2304436.598,2926436.345,3204487.188,3566499.578,
15.823,504.30829,+,3.754397206E7,LysoPE 20:3,LysoPE,6,3.368791146E7,3.298362577E7,3.580765011E7,3.441201494E7,3.364223875E7,3.754397206E7,
15.826,775.03595,+,3923055.559,,,2,3064891.553,3387431.181,3105186.084,3923055.559,3640620.217,2943544.366,
15.827,528.30817,+,1.662289014E7,LysoPE 22:5,LysoPE,4,9966069.789,1.047407089E7,1.432183293E7,1.662289014E7,1.470001084E7,5533658.349,
15.828,429.26102,+,3771094.549,,,6,3223075.256,3771094.549,2768903.059,2195615.031,2743908.588,2977695.245,
15.83,628.49829,+,2885883.512,,,1,1669804.79,1924251.768,2026416.427,2100510.085,2885883.512,2627219.538,
15.83,836.45978,+,1084853.947,,,1,1042592.912,1084853.947,904593.483,743907.6086,684719.483,627073.0169,
15.831,692.41357,+,3221839.353,,,3,2179049.109,2257666.59,2555879.029,2990411.462,2295170.249,3221839.353,
15.834,540.44666,+,2054997.579,,,1,1919027.125,1288592.191,2054997.579,1206147.003,1541281.53,1946524.489,
15.834,907.2597,+,1055178.594,,,1,1055178.594,684877.908,719903.9569,337354.7236,260715.2783,356969.0731,
15.84,678.00043,+,1669613.409,,,1,655276.3663,512865.2088,688242.6547,638240.8784,1137101.681,1669613.409,
15.843,743.97003,+,2203476.953,,,1,1315260.497,1491680.166,2203476.953,1588059.027,1965643.46,1296935.902,
15.844,438.37891,+,1.110317633E8,,,5,9.129592664E7,9.061154134E7,9.607950906E7,9.582897674E7,7.698191746E7,1.110317633E8,
15.844,251.04646,+,5.222657659E7,,,7,5.222657659E7,3.896174966E7,4.699991229E7,4.333808953E7,4.383158072E7,4.471776158E7,
15.846,833.28162,+,1419282.333,,,2,1011023.621,970952.2995,1419282.333,1058142.064,932112.5465,1414830.652,
15.853,544.34113,+,5.870068434E7,LysoPC 20:4,LysoPC,4,4.933419733E7,1.989919732E7,4.937692676E7,4.06736659E7,1.153269482E7,5.870068434E7,
15.855,340.23938,+,1.249840882E7,,,5,5418568.195,6891354.001,8805605.663,7717759.146,9725450.519,1.249840882E7,
15.855,738.49243,+,7594646.944,,,6,5794036.488,5153130.09,6129968.248,6531808.802,5944503.261,7594646.944,
15.857,373.23703,+,7511961.32,,,5,3291135.507,3978302.647,5724347.691,7511961.32,6351476.736,7260251.478,
15.857,500.35849,+,1207452.053,,,1,834797.3817,881560.9113,800320.7545,1031410.276,1207452.053,767525.0823,
15.858,263.1272,+,2534839.35,,,1,1974861.38,2534839.35,1550643.567,1498206.549,1526258.916,1097486.11,
15.859,620.901,+,1645045.221,,,1,848186.9385,1401502.588,623811.5565,1645045.221,1482621.79,599623.483,
15.86,531.27301,+,9.442977435E7,,,6,8.206327785E7,9.442977435E7,7.605388508E7,6.884924772E7,5.713465066E7,6.460498224E7,
15.86,626.46289,+,1.12113605E7,,,5,1.12113605E7,5820908.417,6498412.868,6365543.474,6282045.203,6903393.355,
15.86,397.20087,+,6315774.023,,,3,5449341.737,6315774.023,4042960.354,3248171.706,4124878.041,3843492.176,
15.86,411.17996,+,2247342.529,,,3,1863546.432,2088946.565,1853010.393,2173554.697,2247342.529,1444699.481,
15.86,307.11731,+,1369372.159,,,1,1277152.206,1369372.159,820847.6805,955548.8558,734118.1878,716541.3372,
15.861,678.15045,+,4.44534292E7,,,6,4.39701837E7,3.93284839E7,3.798608512E7,4.001725472E7,4.000700325E7,4.44534292E7,
15.863,632.39447,+,7309054.975,,,2,2794961.493,2581500.345,7309054.975,2080124.477,1481195.749,5770822.614,
15.864,529.39935,+,1.998755517E9,LysoPC d-718:1,LysoPC,6,1.678525077E9,1.88485812E9,1.763894469E9,1.93397557E9,1.4598068E9,1.998755517E9,
15.866,604.36334,+,3217891.236,,,1,1548727.363,1343616.338,3217891.236,840690.5477,752266.2233,2404322.203,
15.866,715.31219,+,2001257.366,,,3,1543803.026,1325232.565,1631766.169,1277061.262,1692286.421,2001257.366,
15.867,428.33691,+,2.593094678E7,,,4,2.481055986E7,2.027387356E7,2.184693766E7,2.337221052E7,2.072977543E7,2.593094678E7,
15.872,674.43939,+,4.318731126E7,,,6,3.295277526E7,3.840223534E7,3.526875401E7,4.318731126E7,3.47737212E7,4.31397478E7,
15.872,431.06793,+,901639.0981,,,1,226882.3311,290951.3476,188318.8849,753042.3851,901639.0981,797263.9633,
15.873,725.51825,+,2216774.163,,,1,892322.3287,1223740.668,951286.0401,2123896.031,2216774.163,623191.7208,
15.878,622.40802,+,3803456.836,,,2,2512011.386,3803456.836,2885283.644,3035815.941,2788489.314,2828928.054,
15.881,454.2923,+,1.60524901E7,LysoPE 16:0,LysoPE,6,1.60524901E7,1.562974855E7,1.415684821E7,1.425934765E7,1.536149206E7,1.549185618E7,
15.882,307.10916,+,1.332638938E7,,,1,1.32942673E7,1.257088273E7,1.332638938E7,8586963.923,9185941.686,9961638.041,
15.882,506.33911,+,2654938.3,,,1,1223114.457,1702571.791,2654938.3,1144807.338,2042798.372,1948067.037,
15.884,653.30066,+,5318656.075,,,3,4666606.841,5015815.719,4629734.056,5318656.075,5247798.876,4939084.575,
15.885,475.29764,+,1.073541632E9,,,6,9.565859037E8,9.181570301E8,9.46622174E8,1.012039534E9,9.484758515E8,1.073541632E9,
15.885,363.17166,+,4.82814137E7,,,6,4.568347968E7,4.60279065E7,4.82814137E7,3.866541191E7,3.868900823E7,3.918360183E7,
15.885,468.34549,+,4840684.262,,,1,4840684.262,2002803.592,3063186.956,3548351.445,3639206.621,3629102.514,
15.886,419.23441,+,1.0558536E8,,,6,1.023605543E8,9.388460927E7,1.0558536E8,8.459184868E7,8.709730833E7,9.797488175E7,
15.886,336.32596,+,1.871402291E7,,,3,1.633216051E7,1.571939731E7,1.484496711E7,1.764015637E7,1.306921478E7,1.871402291E7,
15.887,1018.62744,+,1.055871092E7,,,1,6565675.212,5812385.204,1.055871092E7,5090658.642,6134742.563,7824875.763,
15.887,642.39783,+,3156996.142,,,2,2996537.36,2839133.669,1716242.73,3156996.142,2881390.643,2799806.418,
15.888,616.37537,+,3.438561722E8,,,6,3.438561722E8,2.783991582E8,2.854507989E8,3.001679797E8,2.155367546E8,2.520440806E8,
15.888,576.41736,+,4.241766475E7,,,2,6204094.534,6520676.154,4.081860976E7,6556674.671,7239450.444,4.241766475E7,
15.888,524.33539,+,1.897369123E7,,,5,1.47599364E7,1.633914499E7,1.564529782E7,1.897369123E7,1.772665678E7,1.670193605E7,
15.89,562.40155,+,2.941740329E7,,,2,2803876.936,2723139.546,2.941740329E7,2301435.275,2596532.454,2.626509993E7,
15.89,708.44501,+,3940480.886,,,2,2958213.109,3224026.493,3249228.992,3363129.169,3893536.24,3940480.886,
15.891,522.35651,+,1.114253809E9,LysoPC 18:1,LysoPC,6,1.096759823E9,1.074827721E9,1.002867091E9,1.114253809E9,1.026575351E9,1.111317102E9,
15.897,380.33679,+,2.389909121E7,,,5,2.13275032E7,1.924312436E7,1.904594896E7,2.389909121E7,2.144735065E7,2.099154959E7,
15.904,970.62811,+,8.989217804E7,,,6,8.989217804E7,5.894200214E7,8.397804566E7,4.806458002E7,4.182120993E7,8.225583233E7,
15.914,399.31021,+,2.948474008E8,,,6,2.277958051E8,2.948474008E8,2.044386044E8,2.352772037E8,2.513900549E8,2.11915882E8,
15.919,265.25269,+,8.296609871E7,,,6,7.95013701E7,7.52304367E7,6.781790782E7,8.296609871E7,8.055416844E7,6.936941797E7,
15.921,576.37347,+,2.588807295E7,,,6,1.968883762E7,1.980357925E7,1.831930578E7,2.452297946E7,2.588807295E7,2.101733367E7,
15.923,542.26062,+,3827963.402,,,1,1656096.486,2020335.095,1852611.915,3754250.772,3827963.402,2715704.047,
15.924,357.29993,+,1.794481351E8,,,6,1.540221599E8,1.697725038E8,1.527320251E8,1.688006914E8,1.794481351E8,1.755297149E8,
15.934,1017.68573,+,1.145249761E8,,,6,8.694600414E7,8.742934717E7,9.71829336E7,8.760026642E7,1.145249761E8,8.501049514E7,
15.941,397.20065,+,1.747331237E7,,,2,1.747331237E7,8667768.002,4847769.461,5642950.978,4774070.872,4748530.356,
15.942,658.50903,+,3.924094664E8,,,7,3.132911204E8,3.063586309E8,3.298739087E8,3.129724413E8,3.263541961E8,3.924094664E8,
15.948,578.2536,+,2.427948855E7,,,2,2.427948855E7,6566940.716,1.577607892E7,1.136942654E7,9357610.193,1.013530641E7,
15.951,531.27264,+,2.465052886E8,,,6,2.465052886E8,1.795807482E8,1.278880533E8,1.217591451E8,1.417156861E8,1.032552107E8,
