Retention Time (min),Quant Ion,Polarity,Area (max),Identification,Lipid Class,Features Found,20191118_KAO_1uLPool.raw (F1),20191118_KAO_2pt5uLPool.raw (F2),20191118_KAO_5uLPool.raw (F3),20191118_KAO_5uLPool_20191118202447.raw (F4),20191118_KAO_5uLPool_20191119024733.raw (F5),20191118_KAO_methodBlank.raw (F6),20191118_KAO_methodBlank_20191119031929.raw (F7),20191118_KAO_T550M.raw (F8),20191118_KAO_T551M.raw (F9),20191118_KAO_T552M.raw (F10),20191118_KAO_T553M.raw (F11),20191118_KAO_T562M.raw (F12),20191118_KAO_T568M.raw (F13),20191118_KAO_T569M.raw (F14),20191118_KAO_T570M.raw (F15),20191118_KAO_T571M.raw (F16),20191118_KAO_T582M.raw (F17),20191118_KAO_T650M.raw (F18),20191118_KAO_T651M.raw (F19),20191118_KAO_T652M.raw (F20),20191118_KAO_T653M.raw (F21),20191118_KAO_T690M.raw (F22),20191118_KAO_T691M.raw (F23),20191118_KAO_T692M.raw (F24),20191118_KAO_T713M.raw (F25),20191118_KAO_T714M.raw (F26),20191118_KAO_T715M.raw (F27),20191118_KAO_waterBlank_20191119035125.raw (F28)
1.895,349.29474,+,545631.6883,,,3,402134.3731,379251.8013,26697.5368,26472.1466,29283.09635,165890.4645,167530.245,289594.3509,174726.5618,332090.8726,372176.6701,463520.4505,331459.9378,331323.7663,362102.8104,490752.5553,385236.929,368223.9851,346228.1542,380209.2273,195482.2501,365674.6849,350695.2351,448146.9343,437524.9002,337361.4106,545631.6883,1711.12301
1.91,367.18478,-,277278.0066,,,2,156255.9457,110490.9006,11406.53769,12282.69206,12501.67687,60595.05928,67619.55151,126821.4771,94600.65043,149320.1291,267199.7663,193700.5317,150640.3907,131297.3771,165205.8505,227235.8468,179151.1494,146071.7492,178024.2991,160803.7999,107721.137,189888.6367,184854.4375,156395.2818,223733.3088,155455.5719,277278.0066,1154.35278
1.953,426.35745,+,262496.5116,,,3,8087.554879,34434.81715,92245.64816,94111.0756,95066.34697,4898.57377,4975.704563,260390.1562,84878.89914,44148.82378,9805.957221,106651.0799,91046.58391,77394.4145,24086.98556,90278.83826,72100.25808,110474.2919,108180.0785,52430.24389,35370.95183,262496.5116,226840.6451,11635.56949,14339.30589,150242.6166,55510.72586,1225.712731
2.035,548.37097,+,939799.5165,LysoPC 20:2,LysoPC,24,57918.86108,234218.1237,450286.2383,458502.9779,444620.715,3652.314645,4067.152541,485767.9483,939799.5165,398929.3044,305521.7858,660636.4947,465285.612,643582.2085,483755.3821,329755.195,298021.932,697324.1655,595612.874,445046.4984,412597.0361,491018.1798,543612.4116,466205.4336,493866.9872,378316.9238,327114.6746,1381.158924
2.054,510.35559,+,4874478.67,LysoPC 17:0,LysoPC,48,498018.4632,1634000.969,3165771.206,3144497.49,3333677.475,3321.297938,3264.961602,2946157.208,3465793.078,4015108.855,3509382.45,3087047.025,2811342.38,2861218.301,4205530.418,2746471.554,3069827.885,3678638.836,2912066.679,4564541.222,4376201.229,2506131.481,3520213.42,3791598.213,4874478.67,3137958.225,2868226.718,1308.225065
2.055,608.32355,+,178501.6868,,,6,8807.861478,61337.50072,124457.9237,117769.3004,130217.1353,3201.798639,3147.489268,103863.9307,128542.7105,157727.0036,94846.48313,116461.2138,92590.74765,112354.7764,158279.4686,99933.60745,104997.7318,144639.8967,106680.0434,178501.6868,174298.1414,90658.31739,130621.365,149079.1987,174164.1988,125377.0393,107524.4589,1261.155522
2.059,489.25961,-,581658.8618,,,21,196318.0107,51313.32976,154927.461,169493.8305,198630.955,47930.56563,59386.85049,125323.1113,55861.78425,249350.8756,220470.9719,445513.2459,272729.5455,102395.9134,304155.3457,273705.1757,576042.7429,92286.71463,439070.1679,222110.3604,224406.7616,348129.971,581658.8618,123153.9722,477509.9405,336831.2848,256856.2095,926.2492768
2.152,757.44916,+,336781.8989,,,3,220483.9367,54821.53698,237729.8217,258717.2481,257769.1045,82596.5705,85855.72622,250007.7036,118420.9807,255569.7321,116195.4801,219587.2093,231689.7791,67880.79109,336781.8989,182139.6827,277298.7174,74966.70855,230506.8966,194033.8468,272231.5719,187176.2905,241060.096,111020.8096,218266.9552,96625.31853,216988.3429,2411.823019
2.196,505.31863,+,174851.011,,,8,51464.57817,9249.029683,113628.8456,112112.159,126095.7238,2883.071596,3196.820547,124099.407,114421.5278,97970.89772,58248.48709,135338.1229,157350.1267,32801.28117,112679.9886,90928.0339,161757.692,33447.60193,138113.6633,127541.8441,174851.011,83905.59367,126804.3793,65586.02162,105292.907,106028.5038,102026.981,1072.810339
2.227,820.59979,+,604382.4089,,,19,383278.9543,278447.2355,78626.03559,80897.42115,73594.92104,171223.6729,175346.0504,451494.2887,272442.0576,220272.2707,393153.4769,335503.662,284447.3286,327151.6557,269469.4997,524695.5409,305512.3228,353257.4344,362167.0056,273435.3791,160632.9334,237579.3801,369670.0851,288087.872,544346.1151,299533.1938,604382.4089,2266.127551
