i,pls,cca
l_209,2.1371427976427038,21.64683547876896
l_210,0.7691458731461885,7.790575022538796
l_211,2.513008685294525,25.45393004371211
l_212,2.0612808518098813,20.87843880802944
l_213,-0.10238324207885746,-1.0370268791588082
l_214,-0.07712958063355084,-0.7812358131554831
l_215,-0.0022137138674959856,-0.022420265495316987
l_216,0.26863194380492844,2.72093504548895
l_217,0.5034662055289021,5.099540092402646
l_218,-0.06441813737096097,-0.6524837910937004
l_219,0.1736519942689485,1.7588961286123495
l_220,0.6031389228270784,6.1091144427201725
l_221,0.25085968147951443,2.540923798004701
l_222,0.9472192012330811,9.594255529034712
l_223,0.48111738484778993,4.873171199469585
l_224,-0.3088078238345302,-3.1278748497538937
l_225,1.1709022062801968,11.859911623647735
l_226,0.28967905678824374,2.934121278735399
l_227,-0.8675071578411553,-8.78686658665453
l_228,-0.7134638946932192,-7.22658248687571
l_229,-0.4442094172123553,-4.499339704851867
l_230,-3.2824900088055977,-33.2479046042273
l_231,1.2823174444219632,12.988422840309523
l_232,-0.7180533700314607,-7.273064506940448
l_233,1.6475007566903208,16.6873122099981
l_234,-2.0531626794515203,-20.79620963799564
l_235,-0.22468436681786325,-2.275794569499031
l_236,0.9003121327021865,9.119140598534104
l_237,1.0145887589547025,10.27663410417157
l_238,-1.3730601229487982,-13.907540402006516
l_239,2.534700330806064,25.673641640415532
l_240,2.4250101933115134,24.562605992749003
l_241,1.3638584123670052,13.814340029076966
l_242,-1.8697308834946884,-18.938251110648128
l_244,-1.816002728841431,-18.39404865614668
