,pval_sex,pval_animalvar,qval_sex,qval_animalvar,ID,superclass,molec_class,fa_carbons,fa_unsat,RT,m/z,signif_sex,logqvalsex,log2fcM-F,i
vl_5102,0.0015058907432078325,0.10974943444228924,0.011083355870009647,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,15.002,647.50891,True,1.955328721993843,-1.54820081169375,vl_5102
vl_5115,0.12838673111565552,0.3918834727960525,0.33385505460926207,0.48432863120091796,Unidentified,Unidentified,Unidentified,,,15.056,725.64124,False,0.4764420441053739,-0.24334314134786084,vl_5115
vl_5116,5.588149134222684e-09,0.1710010191577328,2.564916898709192e-07,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,15.061,1039.72339,True,6.590926701123971,-1.7556215793501622,vl_5116
vl_5118,0.10032300373742663,0.4094688905990125,0.2839912721182538,0.4984053530554683,Unidentified,Unidentified,Unidentified,,,15.063,708.65216,False,0.5466950068865067,-0.1906803850682195,vl_5118
vl_5119,0.13269907014165494,0.2674371207976606,0.3399066669057704,0.38602102195384846,Unidentified,Unidentified,Unidentified,,,15.066,646.65497,False,0.4686403171115794,-0.22269823905143582,vl_5119
vl_5130,0.2576139001919092,0.12390608963330968,0.4956535872531903,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,15.127,853.44629,False,0.304821746302709,-0.23861527874128896,vl_5130
vl_5143,0.8276404118015479,0.1997462167435653,0.9019891556060304,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,15.191,861.64404,False,0.04479868384250616,0.10014300762442119,vl_5143
vl_5154,0.146629940039156,0.19149734807664087,0.36133806652506295,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,15.229,711.57452,False,0.44208628362729424,0.23238286912500072,vl_5154
vl_5161,0.14049786879664708,0.23082856068526636,0.3527773760918313,0.3700649439418166,Unidentified,Unidentified,Unidentified,,,15.285,687.59491,False,0.4524992743155206,0.8249171283790631,vl_5161
vl_5162,0.2149909812996582,0.20190984838292614,0.4469868989733007,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,15.286,563.54401,False,0.3497052056980044,0.7457642410672669,vl_5162
vl_5163,0.1638786227970498,0.21354169213178054,0.3797093510023216,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,15.288,383.35455,False,0.4205487074725219,0.8504368365479529,vl_5163
vl_5164,0.11969364662832968,0.2205434854086641,0.31918305767554583,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,15.292,661.57977,False,0.4959601691800138,0.8013931968057726,vl_5164
vl_5165,0.14495129431839934,0.20498417653835954,0.35818949816012446,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,15.292,537.52795,False,0.44588715147963953,0.7533584655723757,vl_5165
vl_5177,0.16149347285677218,0.19164568718523234,0.3797093510023216,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,15.345,764.68274,False,0.4205487074725219,0.5010251932125875,vl_5177
vl_4354,0.01431044116818894,0.14389761306994145,0.06448460020277792,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,12.776,1125.86096,False,1.190543988395594,-0.4439377066264356,vl_4354
vl_4351,0.055970721798249565,0.1411351742972176,0.18174022607431625,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,12.776,1017.68054,False,0.74054893604598,-0.360369400595534,vl_4351
vl_3480,1.3285146820816866e-05,0.1045248722106081,0.00022916878265909094,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,10.482,880.60791,True,3.639844542211874,-0.8751256834779966,vl_3480
vl_3748,0.3907286779472374,0.18861115410328866,0.6153558637000714,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,11.161,1144.7655,False,0.21087365667307523,-0.1558634364282412,vl_3748
vl_3757,0.30908693101289364,0.17199450108619607,0.5410953647403487,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,11.164,914.61115,False,0.2667261864080413,-0.10556023744006282,vl_3757
vl_3758,0.20080295919629543,0.33863822808502797,0.42632012875521186,0.4429580613813636,Unidentified,Unidentified,Unidentified,,,11.164,996.61414,False,0.3702641616035361,-0.10441383648515767,vl_3758
vl_3760,0.12882450476770438,0.28277364816957773,0.33385505460926207,0.3986511266856392,Unidentified,Unidentified,Unidentified,,,11.164,974.6142,False,0.4764420441053739,-0.1550450085684787,vl_3760
vl_3761,0.40394651705766416,0.21222632032150324,0.6228449089827671,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,11.164,1064.6012,False,0.20562008104250382,-0.0904090047487891,vl_3761
vl_3762,0.17060417358342872,0.3704728153236875,0.38822095554108493,0.46583369945028585,Unidentified,Unidentified,Unidentified,,,11.164,1078.6189,False,0.41092102579920475,-0.1211815126088922,vl_3762
vl_3763,0.18453878835806348,0.3862849138192471,0.40503145595885104,0.4789095589133243,Unidentified,Unidentified,Unidentified,,,11.164,1050.59619,False,0.39251124686223193,-0.12512412036742404,vl_3763
vl_3765,0.5294702821048412,0.1837486888993718,0.712847794443591,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,11.164,1112.79675,False,0.1470031897690815,-0.08207627230786585,vl_3765
vl_3767,0.1752523669089079,0.2744650880567928,0.394854312382519,0.39330082128775323,Unidentified,Unidentified,Unidentified,,,11.165,931.59314,False,0.4035631144985698,-0.15652578816706963,vl_3767
vl_3769,0.8397934306978133,0.1795561848172451,0.908572606685337,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,11.166,822.57562,False,0.04164036123121019,-0.025285144637368973,vl_3769
vl_3770,0.11156440511359708,0.44330960531953645,0.3018801550132627,0.5308175751331542,Unidentified,Unidentified,Unidentified,,,11.166,361.16351,False,0.5201654356735264,-0.21052647000500357,vl_3770
vl_3778,0.0018804869990063917,0.13768617386665696,0.013139605360145927,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,11.186,951.6792,True,1.8814176783443302,-0.4938406715519861,vl_3778
vl_3779,0.0008774466909415546,0.13389617003471238,0.007229113035816987,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,11.187,937.66351,True,2.1409149844869804,-0.5425661169645402,vl_3779
vl_3780,0.00744807452215521,0.16654863122934283,0.039342939102676326,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,11.187,1019.66718,True,1.4051331993634284,-0.5362639369151871,vl_3780
vl_3791,0.47996770985283865,0.10345854961825651,0.6828406593782653,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,11.209,577.42664,False,0.16568062695700303,-0.224546006491952,vl_3791
vl_3801,0.02592487595282322,0.953055474089434,0.09835416856328809,1.0,Unidentified,Unidentified,Unidentified,,,11.233,1022.62891,False,1.0072072285695757,-0.24264534199317467,vl_3801
vl_3805,0.01991383930493115,0.3124791784362101,0.08112501325698888,0.42328467851972507,Unidentified,Unidentified,Unidentified,,,11.241,858.6239,False,1.0908452192216311,-0.21300275763610443,vl_3805
vl_3818,0.5762106242337407,0.21834757781638592,0.7422829978460324,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,11.257,692.34125,False,0.12943048694322434,-0.09863967162273113,vl_3818
vl_3820,0.0001946164044288027,0.13280631203332188,0.001989412134161094,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,11.259,889.6488,True,2.701275237463391,-0.7912886708388065,vl_3820
vl_3846,0.6586548056188952,0.18525679338031442,0.7979178925683298,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,11.321,743.56598,False,0.09804179616696197,0.11475733642134145,vl_3846
vl_3881,0.0011250378761164539,0.14278186934974532,0.00887172725166118,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,11.396,892.64691,True,2.051991818405257,-0.7942423563490344,vl_3881
vl_3889,0.811543282804708,0.15089413118176054,0.8941554732698579,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,11.441,570.55212,False,0.04858696072013983,0.03148466064930133,vl_3889
