,ID,molec_class,pval_sex,qval_sex,log2fcM-F,qval_significant,more_abundant_in_females
vl_3504,Plasmanyl-PC O-38:5,Plasmanyl-PC,0.4001062597850127,0.5901345565965889,0.1229032703609682,False,False
vl_2765,PC O-38:6,Plasmenyl-PC,0.455318118711507,0.6375798767186244,0.1290432261484468,False,False
vl_4012,Plasmanyl-PC O-36:1,Plasmanyl-PC,0.712458553113654,0.8161889554069242,0.0787115551731076,False,False
vl_4135,PC 18:0_18:0,PC,3.064883283859911e-05,0.0003980149798766,-0.8771034801238784,True,True
vl_3484,PC 40:5,PC,0.1111005641452273,0.2838903903225754,-0.3954508396184835,False,True
vl_2079,PI 16:0_20:4,PI,0.0002279225550058,0.0020006535383849,0.5999461778717929,True,False
vl_2851,PE 16:0_20:4,PE,0.0141035137615479,0.0587171004867302,0.480569063547172,False,False
vl_3104,PC 17:0_18:2,PC,0.0001118418586656,0.0011044383543232,0.5045119260279982,True,False
vl_1056,LysoPC 18:0,LysoPC,8.062040192853962e-06,0.000127380235047,-0.5479342516098313,True,True
vl_2860,PC 16:0_18:2,PC,1.1386890591799644e-05,0.0001741092303391,0.3484216859408207,True,False
vl_3507,PE 38:5,PE,0.6704907767642074,0.7905786770801849,0.1176616610453713,False,False
vl_3178,Plasmanyl-PC O-36:3,Plasmanyl-PC,0.3204193575767461,0.5219201906920194,-0.1804414702321679,False,True
vl_2388,PC 16:0_20:5,PC,0.5698270474013918,0.7120014472568145,0.0889119455789497,False,False
vl_3513,Plasmanyl-PC O-32:1,Plasmanyl-PC,0.3092673687963403,0.5107760725068478,-0.1533275919125216,False,True
vl_3517,PC 18:0_20:3,PC,0.6011699935185664,0.7391817819138793,-0.0814443601629228,False,True
vl_2671,Plasmanyl-PC O-38:6,Plasmanyl-PC,0.6737095066722576,0.7914208331168529,-0.0681772373488378,False,True
vl_3073,PC 18:0_22:6,PC,1.0701946030070844e-11,1.4493492623581658e-09,-1.293080816546997,True,True
vl_2181,PI 18:2_18:1,PI,0.0070088864010538,0.0335576985262578,0.3460522384102589,True,False
vl_1123,LysoPC 20:1,LysoPC,4.269382046158297e-09,1.9273210379800314e-07,0.5124075246632813,True,False
vl_2178,PC 18:3_18:2,PC,0.0091783701662562,0.0424443654517608,0.3932422242713294,True,False
vl_3213,Plasmenyl-PE P-16:0_18:2,Plasmenyl-PE,0.7925432351387534,0.8716136739112972,-0.0507436680759738,False,True
vl_2456,PC 18:2_18:2,PC,0.0164022154161606,0.0650598335335576,0.3900630510398066,False,False
vl_3196,PE 42:9,PE,0.0447854424797174,0.1451930145048825,-0.4640518969270566,False,True
vl_4035,Plasmenyl-PE P-18:0_18:1,Plasmenyl-PE,0.1549595641065159,0.3492242871256873,-0.2129409084673561,False,True
vl_2744,PC 38:5,PC,2.25548788351194e-05,0.0003115160387976,0.658147767064694,True,False
vl_2146,PI 16:0_18:2,PI,0.0027864790912888,0.0159131456538666,0.3583226994402864,True,False
vl_3103,PC 37:3,PC,0.0015495240504273,0.0099928489782663,0.4850901038412196,True,False
vl_2723,PC 16:0_20:4,PC,8.490275614465712e-06,0.0001319472341395,0.4526979560993887,True,False
vl_3618,Plasmanyl-PC O-36:3,Plasmanyl-PC,0.7971881959116485,0.8725210275268305,0.0675212193717662,False,False
vl_3752,PC 18:1_18:0,PC,0.4266656119843481,0.6126093994229552,-0.1209121431981792,False,True
vl_2463,PI 18:0_20:4,PI,0.0035045212604081,0.0190935985911892,0.4264037568598553,True,False
vl_3604,Plasmanyl-PC O-34:1,Plasmanyl-PC,0.4776791850766173,0.6525070136205089,0.1321577937132474,False,False
vl_3050,Plasmanyl-PC O-34:3,Plasmanyl-PC,0.48994548201477,0.6588203077304994,0.1135690912538009,False,False
vl_3631,PC 40:4,PC,0.0145234793995738,0.0598619933512871,-0.3613831531727349,False,True
vl_3619,PC 42:6,PC,0.0030620365243259,0.0170753566180056,-0.4407766347332469,True,True
vl_3046,PC O-38:5,Plasmanyl-PC,0.8804793998398235,0.9194007477063,0.0204746945690459,False,False
vl_3602,Plasmenyl-PC P-18:0_16:0,Plasmenyl-PC,0.3946452356615485,0.5867225366684578,0.0969930482691481,False,False
vl_3595,Plasmanyl-PC O-18:0_20:4,Plasmanyl-PC,0.7041456373275081,0.8130695057082554,0.0687754538017202,False,False
vl_3461,Plasmanyl-PC O-35:2,Plasmanyl-PC,0.1034846121681988,0.2732685580374721,-0.2596259910979235,False,True
vl_2888,Plasmanyl-PC O-38:6,Plasmanyl-PC,0.1302948530110176,0.3175309014253077,-0.2813741658947641,False,True
vl_3536,PC 33:0,PC,1.2873940178026757e-06,2.6531511497324704e-05,0.4948976026219682,True,False
vl_3684,Plasmanyl-PC O-18:0_18:2,Plasmanyl-PC,0.3394259683218467,0.5389879697975053,-0.1627373956760962,False,True
vl_2552,PC 16:0_22:6,PC,0.9423194264886636,0.96496133514625,-0.0098290055026701,False,True
vl_3626,PE O-38:4,Plasmenyl-PE,0.2881834817866124,0.4947604810288445,-0.2037882818743419,False,True
vl_2906,Plasmanyl-PC O-33:2,Plasmanyl-PC,0.2600449836367857,0.4686742290640169,0.2310658422042415,False,False
vl_3035,Plasmanyl-PC O-16:0_20:4,Plasmanyl-PC,0.0497331030602259,0.1573225623010989,0.2297703752498776,False,False
vl_3572,PC 35:1,PC,0.0001418809400397,0.0013541679304299,0.5972731675282965,True,False
vl_4000,Plasmanyl-PC O-40:4,Plasmanyl-PC,0.0887449637833129,0.2431509412328921,-0.212125939324796,False,True
vl_2651,PC 35:0,PC,0.3879580888366594,0.5849249677548729,-0.1864593822949771,False,True
vl_2645,Plasmanyl-PC O-36:5,Plasmanyl-PC,0.2193558964060146,0.4255685019265895,0.1776717539632102,False,False
vl_2240,PC 40:8,PC,0.1529875504834001,0.3492242871256873,-0.2074118116102852,False,True
vl_2902,PC O-40:6,Plasmenyl-PC,0.0113842543352821,0.0501966191155695,-0.3719369581379581,False,True
vl_2639,PI 18:0_20:3,PI,0.0023026135549331,0.0136429853129789,0.4283765518973439,True,False
vl_2641,PE 38:6,PE,0.1552276081667946,0.3492242871256873,-0.283610742929941,False,True
vl_2955,Plasmanyl-PC O-36:5,Plasmanyl-PC,0.2921510074802255,0.4954546602705792,0.180953315547967,False,False
vl_2110,PC 38:7,PC,0.1109669516353352,0.2838903903225754,0.2330163775315874,False,False
vl_2330,PC 37:6,PC,0.1763620441742562,0.3723635142031068,0.3243996712585719,False,False
vl_3642,PC 18:2_19:0,PC,0.32927499240431,0.5310669399565128,0.1607994916185333,False,False
vl_3055,Plasmenyl-PE P-16:0_20:4,Plasmenyl-PE,0.0236474779435822,0.0865552474537294,-0.3824259526905962,False,True
